ad_id,clicks,impressions,date_start,date_stop,website_ctr,reach,frequency,spend,publisher_platform,actions_link_click,actions_post_engagement,actions_page_engagement,actions_onsite_conversion.post_save,actions_post_reaction,action_values_offsite_conversion.fb_pixel_add_to_cart,action_values_offsite_conversion.fb_pixel_initiate_checkout,action_values_offsite_conversion.fb_pixel_view_content,action_values_omni_add_to_cart,action_values_omni_initiated_checkout,action_values_omni_view_content,action_values_add_to_cart,action_values_initiate_checkout,actions_offsite_conversion.fb_pixel_add_to_cart,actions_offsite_conversion.fb_pixel_initiate_checkout,actions_offsite_conversion.fb_pixel_view_content,actions_add_to_cart,actions_initiate_checkout,actions_landing_page_view,actions_view_content,actions_post,action_values_offsite_conversion.fb_pixel_add_payment_info,action_values_offsite_conversion.fb_pixel_purchase,action_values_add_payment_info,actions_offsite_conversion.fb_pixel_add_payment_info,actions_offsite_conversion.fb_pixel_purchase,actions_purchase,actions_offsite_conversion.fb_pixel_search,actions_search,actions_offsite_conversion.fb_pixel_lead,actions_comment
23850769659510035,41,796,2022-02-03,2022-02-03,2.763819,712,1.117978,413.69,facebook,22.0,22.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23850769659510035,14,553,2022-02-03,2022-02-03,2.169982,534,1.035581,175.99,instagram,12.0,15.0,15.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
23850769659510035,1,5,2022-02-03,2022-02-03,20.0,5,1.0,1.48,messenger,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23850769659510035,0,0,2022-02-03,2022-02-03,,0,0.0,0.0,unknown,,,,,,2999.0,3999.0,133972.0,2999.0,3999.0,133972.0,2999.0,3999.0,2.0,1.0,50.0,2.0,1.0,28.0,50.0,,,,,,,,,,,
23850769659530035,28,868,2022-02-03,2022-02-03,1.728111,786,1.104326,501.66,facebook,15.0,20.0,20.0,,4.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
23850769659530035,6,376,2022-02-03,2022-02-03,1.329787,356,1.05618,140.26,instagram,5.0,10.0,10.0,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,
23850769659530035,0,7,2022-02-03,2022-02-03,,7,1.0,0.15,messenger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23850769659530035,0,0,2022-02-03,2022-02-03,,0,0.0,0.0,unknown,,,,,,,,69985.0,,,69985.0,,,,,26.0,,,17.0,26.0,,,,,,,,,,,
23850875657320035,0,3,2022-02-03,2022-02-03,,2,1.5,0.72,audience_network,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23850875657320035,50,904,2022-02-03,2022-02-03,3.539823,693,1.304473,330.14,facebook,32.0,34.0,34.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
23850875657320035,30,1095,2022-02-03,2022-02-03,1.552511,998,1.097194,255.53,instagram,17.0,23.0,23.0,2.0,3.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
23850875657320035,0,14,2022-02-03,2022-02-03,,14,1.0,0.06,messenger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23850875657320035,0,0,2022-02-03,2022-02-03,,0,0.0,0.0,unknown,,,,,,,,169958.0,,,169958.0,,,,,72.0,,,44.0,72.0,,,,,,,,,,,
23850875842970035,0,8,2022-02-03,2022-02-03,,7,1.142857,2.1,audience_network,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23850875842970035,30,753,2022-02-03,2022-02-03,2.390438,542,1.389299,428.84,facebook,18.0,20.0,20.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
23850875842970035,13,370,2022-02-03,2022-02-03,2.432432,319,1.159875,169.43,instagram,9.0,15.0,15.0,2.0,3.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
23850875842970035,0,7,2022-02-03,2022-02-03,,7,1.0,0.07,messenger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23850875842970035,0,0,2022-02-03,2022-02-03,,0,0.0,0.0,unknown,,,,,,,,96982.0,,,96982.0,,,,,32.0,,,23.0,32.0,,,,,,,,,,,
23850875877690035,49,1131,2022-02-03,2022-02-03,2.917772,969,1.167183,382.42,facebook,33.0,33.0,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23850875877690035,27,595,2022-02-03,2022-02-03,3.529412,560,1.0625,205.32,instagram,21.0,25.0,25.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
23850875877690035,1,10,2022-02-03,2022-02-03,10.0,9,1.111111,4.22,messenger,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23850875877690035,0,0,2022-02-03,2022-02-03,,0,0.0,0.0,unknown,,,,,,,,186959.0,,,186959.0,,,,,74.0,,,47.0,74.0,,,,,,,,,,,
23850875892320035,41,763,2022-02-03,2022-02-03,3.014417,680,1.122059,391.55,facebook,23.0,26.0,26.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
23850875892320035,10,551,2022-02-03,2022-02-03,1.633394,533,1.033771,194.6,instagram,9.0,11.0,11.0,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
23850875892320035,0,9,2022-02-03,2022-02-03,,9,1.0,1.88,messenger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23850875892320035,0,1,2022-02-03,2022-02-03,,1,1.0,0.13,unknown,,,,,,15998.0,3999.0,110975.0,15998.0,3999.0,110975.0,15998.0,3999.0,3.0,1.0,49.0,3.0,1.0,26.0,49.0,,,,,,,,,,,
23850769659510035,42,1056,2022-02-04,2022-02-04,2.746212,957,1.103448,489.69,facebook,29.0,32.0,32.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
23850769659510035,2,244,2022-02-04,2022-02-04,0.819672,240,1.016667,91.05,instagram,2.0,4.0,4.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
23850769659510035,0,8,2022-02-04,2022-02-04,,8,1.0,3.29,messenger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23850769659510035,0,0,2022-02-04,2022-02-04,,0,0.0,0.0,unknown,,,,,,,,73982.0,,,73982.0,,,,,36.0,,,25.0,36.0,,,,,,,,,,,
23850769659530035,0,1,2022-02-04,2022-02-04,,1,1.0,0.04,audience_network,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23850769659530035,16,902,2022-02-04,2022-02-04,0.997783,817,1.104039,579.29,facebook,9.0,10.0,10.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
23850769659530035,5,241,2022-02-04,2022-02-04,2.074689,232,1.038793,72.6,instagram,5.0,7.0,7.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
23850769659530035,0,3,2022-02-04,2022-02-04,,3,1.0,0.49,messenger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23850769659530035,0,0,2022-02-04,2022-02-04,,0,0.0,0.0,unknown,,,,,,5998.0,,43992.0,5998.0,,43992.0,5998.0,,3.0,,16.0,3.0,,12.0,16.0,,,,,,,,,,,
23850875657320035,0,10,2022-02-04,2022-02-04,,7,1.428571,3.55,audience_network,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23850875657320035,24,861,2022-02-04,2022-02-04,1.974448,672,1.28125,283.31,facebook,17.0,18.0,18.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
23850875657320035,33,1267,2022-02-04,2022-02-04,1.736385,1159,1.093184,296.24,instagram,22.0,35.0,35.0,1.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,
23850875657320035,0,12,2022-02-04,2022-02-04,,11,1.090909,0.12,messenger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23850875657320035,0,0,2022-02-04,2022-02-04,,0,0.0,0.0,unknown,,,,,,3999.0,3999.0,61987.0,3999.0,3999.0,61987.0,3999.0,3999.0,3.0,2.0,24.0,3.0,2.0,28.0,24.0,,3999.0,3999.0,3999.0,2.0,1.0,1.0,,,,
23850875842970035,0,15,2022-02-04,2022-02-04,,10,1.5,3.57,audience_network,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23850875842970035,17,757,2022-02-04,2022-02-04,1.717305,508,1.490157,339.09,facebook,13.0,13.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23850875842970035,11,271,2022-02-04,2022-02-04,3.690037,228,1.188596,239.31,instagram,10.0,12.0,12.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
23850875842970035,0,5,2022-02-04,2022-02-04,,5,1.0,0.04,messenger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23850875842970035,0,0,2022-02-04,2022-02-04,,0,0.0,0.0,unknown,,,,,,,,80981.0,,,80981.0,,,,,36.0,,,20.0,36.0,,,,,,,,,,,
23850875877690035,25,948,2022-02-04,2022-02-04,1.793249,850,1.115294,467.97,facebook,17.0,19.0,19.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
23850875877690035,8,225,2022-02-04,2022-02-04,2.666667,220,1.022727,116.42,instagram,6.0,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23850875877690035,0,4,2022-02-04,2022-02-04,,3,1.333333,1.67,messenger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23850875877690035,0,0,2022-02-04,2022-02-04,,0,0.0,0.0,unknown,,,,,,,,119979.0,,,119979.0,,,,,42.0,,,22.0,42.0,,,,,,,,,,,
23850875892320035,35,879,2022-02-04,2022-02-04,3.071672,810,1.085185,469.29,facebook,27.0,30.0,30.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
23850875892320035,4,210,2022-02-04,2022-02-04,1.904762,205,1.02439,113.83,instagram,4.0,5.0,5.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
23850875892320035,0,8,2022-02-04,2022-02-04,,8,1.0,0.8,messenger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23850875892320035,0,0,2022-02-04,2022-02-04,,0,0.0,0.0,unknown,,,,,,,,76983.0,,,76983.0,,,,,30.0,,,25.0,30.0,,,,,,,,,,,
23850769659510035,41,1009,2022-02-05,2022-02-05,2.477701,920,1.096739,496.3,facebook,25.0,28.0,28.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
23850769659510035,4,246,2022-02-05,2022-02-05,0.813008,239,1.029289,98.34,instagram,2.0,4.0,4.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
23850769659510035,0,3,2022-02-05,2022-02-05,,3,1.0,5.06,messenger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23850769659510035,0,0,2022-02-05,2022-02-05,,0,0.0,0.0,unknown,,,,,,,,47988.0,,,47988.0,,,,,28.0,,,20.0,28.0,,,,,,,,,,,
23850769659530035,51,870,2022-02-05,2022-02-05,3.563218,771,1.128405,638.39,facebook,31.0,35.0,35.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,
23850769659530035,0,88,2022-02-05,2022-02-05,,87,1.011494,22.5,instagram,,2.0,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
23850769659530035,0,1,2022-02-05,2022-02-05,,1,1.0,0.15,messenger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23850769659530035,0,0,2022-02-05,2022-02-05,,0,0.0,0.0,unknown,,,,,,,,90981.0,,,90981.0,,,,,34.0,,,26.0,34.0,,,,,,,,,,,
