start_date,end_date,ga:sourceMedium,ga:currencyCode,ga:sessions,ga:organicSearches,ga:users,ga:transactions,ga:transactionsPerSession,ga:transactionRevenue,ga:totalValue,ga:itemQuantity,ga:transactionsPerUser
2022-02-01,2022-02-01,(direct) / (none),(not set),12,0,11,0,0.0,0.0,0.0,0,0.0
2022-02-01,2022-02-01,(direct) / (none),INR,0,0,2,0,0.0,0.0,0.0,0,0.0
2022-02-01,2022-02-01,af.uppromote.com / referral,(not set),2,0,2,0,0.0,0.0,0.0,0,0.0
2022-02-01,2022-02-01,af.uppromote.com / referral,INR,0,0,1,0,0.0,0.0,0.0,0,0.0
2022-02-01,2022-02-01,facebook.com / referral,(not set),8,0,8,0,0.0,0.0,0.0,0,0.0
2022-02-01,2022-02-01,facebook.com / referral,INR,0,0,0,0,0.0,0.0,0.0,0,0.0
2022-02-01,2022-02-01,google / organic,(not set),17,11,12,0,0.0,0.0,0.0,0,0.0
2022-02-01,2022-02-01,google / organic,INR,1,0,3,0,0.0,0.0,0.0,0,0.0
2022-02-01,2022-02-01,google / product_sync,(not set),0,0,0,0,0.0,0.0,0.0,0,0.0
2022-02-01,2022-02-01,google / product_sync,INR,0,0,0,0,0.0,0.0,0.0,0,0.0
2022-02-01,2022-02-01,l.facebook.com / referral,(not set),0,0,0,0,0.0,0.0,0.0,0,0.0
2022-02-01,2022-02-01,l.facebook.com / referral,INR,0,0,0,0,0.0,0.0,0.0,0,0.0
2022-02-01,2022-02-01,l.instagram.com / referral,(not set),13,0,10,0,0.0,0.0,0.0,0,0.0
2022-02-01,2022-02-01,l.instagram.com / referral,INR,0,0,3,0,0.0,0.0,0.0,0,0.0
2022-02-02,2022-02-02,(direct) / (none),(not set),6,0,5,0,0.0,0.0,0.0,0,0.0
2022-02-02,2022-02-02,(direct) / (none),INR,0,0,0,0,0.0,0.0,0.0,0,0.0
2022-02-02,2022-02-02,af.uppromote.com / referral,(not set),0,0,0,0,0.0,0.0,0.0,0,0.0
2022-02-02,2022-02-02,af.uppromote.com / referral,INR,0,0,0,0,0.0,0.0,0.0,0,0.0
2022-02-02,2022-02-02,facebook.com / referral,(not set),6,0,6,0,0.0,0.0,0.0,0,0.0
